Unnamed: 0,single,cluster,total_cell_in_cluster,cell_ratio,single.1,cluster.1,total_cell_in_cluster.1,cell_ratio.1,single.1.1,cluster.1.1,total_cell_in_cluster.1.1,cell_ratio.1.1,single.1.1.1,cluster.1.1.1,total_cell_in_cluster.1.1.1,cell_ratio.1.1.1,single.1.1.1.1,cluster.1.1.1.1,total_cell_in_cluster.1.1.1.1,cell_ratio.1.1.1.1,single.1.1.1.1.1,cluster.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1,cell_ratio.1.1.1.1.1,single.1.1.1.1.1.1,cluster.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1,single.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1,single,cluster,total_cell_in_cluster,cell_ratio
0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0
1,6,2,6,50.0,4,5,32,88.88888888888889,3,3,11,78.57142857142857,1,4,46,97.87234042553192,2,0,0,0.0,11,4,31,73.80952380952381,2,4,18,90.0,4,3,13,76.47058823529412,5,6,35,87.5,6,3,14,70.0
2,3,0,0,0.0,4,1,4,50.0,3,1,2,40.0,1,0,0,0.0,3,0,0,0.0,1,0,0,0.0,2,0,0,0.0,1,0,0,0.0,0,0,0,0.0,2,1,2,50.0
3,6,0,0,0.0,2,0,0,0.0,1,1,2,66.66666666666666,2,0,0,0.0,0,1,3,100.0,0,0,0,0.0,1,0,0,0.0,1,0,0,0.0,0,1,3,100.0,1,0,0,0.0
4,3,1,2,40.0,3,0,0,0.0,4,0,0,0.0,4,1,4,50.0,2,0,0,0.0,1,2,5,83.33333333333334,1,0,0,0.0,3,1,2,40.0,1,1,3,75.0,5,1,2,28.57142857142857
5,6,1,2,25.0,4,0,0,0.0,4,1,2,33.33333333333333,2,2,4,66.66666666666666,2,0,0,0.0,3,0,0,0.0,3,0,0,0.0,7,0,0,0.0,3,1,2,40.0,4,0,0,0.0
6,3,0,0,0.0,3,0,0,0.0,3,0,0,0.0,7,2,4,36.36363636363637,2,3,6,75.0,4,0,0,0.0,1,1,4,80.0,2,2,5,71.42857142857143,6,3,7,53.84615384615385,3,0,0,0.0
7,5,0,0,0.0,6,3,7,53.84615384615385,6,2,4,40.0,11,1,2,15.384615384615383,4,2,5,55.55555555555556,2,2,5,71.42857142857143,4,0,0,0.0,5,2,4,44.44444444444444,3,0,0,0.0,2,5,12,85.71428571428571
8,8,4,9,52.94117647058824,3,1,2,40.0,5,3,7,58.333333333333336,12,1,2,14.285714285714285,2,1,5,71.42857142857143,5,3,7,58.333333333333336,2,2,5,71.42857142857143,2,1,7,77.77777777777779,2,2,4,66.66666666666666,7,3,14,66.66666666666666
9,12,0,0,0.0,6,8,24,80.0,3,1,2,40.0,3,2,9,75.0,8,1,2,20.0,5,4,10,66.66666666666666,7,0,0,0.0,10,0,0,0.0,4,1,5,55.55555555555556,10,5,12,54.54545454545454
