Unnamed: 0,single,cluster,total_cell_in_cluster,cell_ratio,single.1,cluster.1,total_cell_in_cluster.1,cell_ratio.1,single.1.1,cluster.1.1,total_cell_in_cluster.1.1,cell_ratio.1.1,single.1.1.1,cluster.1.1.1,total_cell_in_cluster.1.1.1,cell_ratio.1.1.1,single.1.1.1.1,cluster.1.1.1.1,total_cell_in_cluster.1.1.1.1,cell_ratio.1.1.1.1,single.1.1.1.1.1,cluster.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1,cell_ratio.1.1.1.1.1,single.1.1.1.1.1.1,cluster.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1,single.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single,cluster,total_cell_in_cluster,cell_ratio
0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0
1,1,0,0,0.0,3,1,2,40.0,2,1,2,50.0,3,2,4,57.14285714285714,2,1,2,50.0,8,2,4,33.33333333333333,3,0,0,0.0,3,0,0,0.0,2,1,3,60.0,2,1,2,50.0,1,0,0,0.0,4,1,2,33.33333333333333,2,0,0,0.0,6,0,0,0.0,5,1,2,28.57142857142857,5,0,0,0.0,5,1,3,37.5,2,0,0,0.0,4,0,0,0.0,4,2,4,50.0
2,6,1,3,33.33333333333333,9,1,2,18.181818181818183,13,0,0,0.0,14,4,11,44.0,7,3,6,46.15384615384615,15,4,14,48.27586206896552,10,1,2,16.666666666666664,8,2,4,33.33333333333333,13,1,2,13.333333333333334,6,3,7,53.84615384615385,6,0,0,0.0,10,3,7,41.17647058823529,6,2,4,40.0,9,1,6,40.0,12,1,7,36.84210526315789,9,7,14,60.86956521739131,13,1,3,18.75,11,3,8,42.10526315789473,5,2,4,44.44444444444444,15,1,2,11.76470588235294
3,12,3,8,40.0,23,4,10,30.303030303030305,21,8,18,46.15384615384615,28,7,16,36.36363636363637,34,12,39,53.42465753424658,36,10,26,41.935483870967744,21,4,8,27.58620689655172,23,5,12,34.285714285714285,25,6,13,34.21052631578947,26,6,23,46.93877551020408,21,7,16,43.24324324324324,23,7,16,41.02564102564102,11,3,7,38.88888888888889,21,5,13,38.23529411764706,22,5,12,35.294117647058826,27,13,36,57.14285714285714,29,7,21,42.0,25,6,16,39.02439024390244,13,7,14,51.85185185185185,30,7,16,34.78260869565217
4,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637
5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5
6,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664
7,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413
8,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183
9,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127
