Unnamed: 0,single,cluster,total_cell_in_cluster,cell_ratio,single.1,cluster.1,total_cell_in_cluster.1,cell_ratio.1,single.1.1,cluster.1.1,total_cell_in_cluster.1.1,cell_ratio.1.1,single.1.1.1,cluster.1.1.1,total_cell_in_cluster.1.1.1,cell_ratio.1.1.1,single.1.1.1.1,cluster.1.1.1.1,total_cell_in_cluster.1.1.1.1,cell_ratio.1.1.1.1,single.1.1.1.1.1,cluster.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1,cell_ratio.1.1.1.1.1,single.1.1.1.1.1.1,cluster.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1,single.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single,cluster,total_cell_in_cluster,cell_ratio
0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0
1,6,1,2,25.0,2,1,4,66.66666666666666,2,0,0,0.0,6,0,0,0.0,6,0,0,0.0,6,0,0,0.0,3,2,4,57.14285714285714,5,1,2,28.57142857142857,5,1,2,28.57142857142857,5,1,2,28.57142857142857,9,0,0,0.0,4,0,0,0.0,1,0,0,0.0,3,0,0,0.0,4,0,0,0.0,4,0,0,0.0,4,1,2,33.33333333333333,5,1,2,28.57142857142857,5,0,0,0.0,2,0,0,0.0
2,15,2,5,25.0,7,2,5,41.66666666666667,6,2,5,45.45454545454545,13,2,5,27.77777777777778,10,3,6,37.5,20,1,3,13.043478260869565,17,4,11,39.285714285714285,7,3,6,46.15384615384615,12,4,8,40.0,13,2,4,23.52941176470588,11,7,15,57.692307692307686,15,2,4,21.052631578947366,2,2,5,71.42857142857143,4,2,5,55.55555555555556,6,2,4,40.0,13,0,0,0.0,12,1,2,14.285714285714285,6,6,16,72.72727272727273,10,2,4,28.57142857142857,2,0,0,0.0
3,36,11,33,47.82608695652174,17,7,15,46.875,25,5,16,39.02439024390244,24,6,19,44.18604651162791,23,5,14,37.83783783783784,35,10,20,36.36363636363637,37,7,15,28.846153846153843,12,3,11,47.82608695652174,25,6,17,40.47619047619048,22,9,26,54.16666666666666,24,9,21,46.66666666666666,22,12,46,67.64705882352942,12,6,13,52.0,23,3,6,20.6896551724138,23,4,13,36.11111111111111,11,7,29,72.5,31,4,8,20.51282051282051,31,3,7,18.421052631578945,29,8,19,39.58333333333333,9,3,7,43.75
4,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637,7,2,4,36.36363636363637
5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5,14,1,2,12.5
6,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664,15,1,3,16.666666666666664
7,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413,28,3,6,17.647058823529413
8,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183,34,5,15,30.612244897959183
9,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127,39,11,32,45.07042253521127
